sentence,sentiment,clean_text
So there is no way for me to plug it in here in the US unless I go by a converter.,"{'text': 'So there is no way for me to plug it in here in the US unless I go by a converter.', 'sentiment': 'negative', 'score': -0.839087}",so there is no way for me to plug it in here in the us unless i go by a converter
"Good case, Excellent value.","{'text': 'Good case, Excellent value.', 'sentiment': 'positive', 'score': 0.989356}",good case excellent value
Great for the jawbone.,"{'text': 'Great for the jawbone.', 'sentiment': 'positive', 'score': 0.863525}",great for the jawbone
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,"{'text': 'Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!', 'sentiment': 'negative', 'score': -0.896535}",tied to charger for conversations lasting more than  minutesmajor problems
The mic is great.,"{'text': 'The mic is great.', 'sentiment': 'positive', 'score': 0.939187}",the mic is great
I have to jiggle the plug to get it to line up right to get decent volume.,"{'text': 'I have to jiggle the plug to get it to line up right to get decent volume.', 'sentiment': 'negative', 'score': -0.624278}",i have to jiggle the plug to get it to line up right to get decent volume
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.","{'text': 'If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.', 'sentiment': 'positive', 'score': 0.664121}",if you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one
If you are Razr owner...you must have this!,"{'text': 'If you are Razr owner...you must have this!', 'sentiment': 'positive', 'score': 0.79768}",if you are razr owneryou must have this
"Needless to say, I wasted my money.","{'text': 'Needless to say, I wasted my money.', 'sentiment': 'negative', 'score': -0.976316}",needless to say i wasted my money
What a waste of money and time!.,"{'text': 'What a waste of money and time!.', 'sentiment': 'negative', 'score': -0.916783}",what a waste of money and time
And the sound quality is great.,"{'text': 'And the sound quality is great.', 'sentiment': 'positive', 'score': 0.974298}",and the sound quality is great
He was very impressed when going from the original battery to the extended battery.,"{'text': 'He was very impressed when going from the original battery to the extended battery.', 'sentiment': 'positive', 'score': 0.612363}",he was very impressed when going from the original battery to the extended battery
